航次ID,船舶ID,进泊时间,离泊时间,船长,船宽,载重吨,船舶类型代码A,船舶类型代码B,泊位位置,装载量
1045,357144000,1685942238,1686098158,183,32,49999,C,C,121.75439821138373 29.979150371202415,25146.24
1046,538009697,1705118689,1705290444,292,45,175428,E,D,122.07685838333425 29.893054494052702,90000
1047,229742000,1677310115,1677366905,186,34,36923,B,A,121.83825180579714 29.945235140108068,3267
1048,538010685,1704002609,1704196516,291,45,175108,E,D,121.88299170323923 29.936601974988143,156428
1049,477682400,1680318389,1680394671,92,14,3560,C,B,121.75102788409284 29.976417555460966,995.9
1050,563019800,1692080199,1692236833,180,28,37342,C,B,121.9529721578593 29.94995541645756,11440
1051,477920300,1676028886,1676190594,323,43,105337,B,A,122.04954154331483 29.890458695384908,448.3
1052,371483000,1698802648,1698905662,141,25,19848,C,B,121.9529721578593 29.94995541645756,4759
1053,374728000,1698813521,1698887557,97,17,3994,A,B,121.89581318351006 29.93222177093501,3009.81
1054,538005786,1701058525,1701138096,184,27,38506,C,B,121.75109782011569 29.9804931127261,7793.12
1055,354555000,1675069408,1675148818,98,16,3830,A,B,121.89868694105951 29.931472410600644,2504.17
1056,563091800,1691914361,1692068733,230,36,55427,A,C,121.78323817164318 29.97243550629892,23961.6
1057,563117600,1703296019,1703399392,230,37,55065,A,C,121.97377818306916 29.945100713933336,12000
1058,416065000,1688027042,1688113053,149,24,19999,C,B,121.89581318351006 29.93222177093501,10499.07
1059,219214000,1674450974,1674697285,183,32,49999,C,C,121.80463577215305 29.962969225989433,40000
1060,247012900,1676288337,1676335506,285,40,63216,B,A,121.83825180579714 29.945235140108068,2041.7
1061,477932600,1677310462,1677461993,330,60,297058,D,C,121.81345119675835 29.956549406214588,126271
1062,403514001,1680323629,1680330652,183,32,45468,C,B,121.9529721578593 29.94995541645756,2852.74
1063,564966000,1704097534,1704260829,183,32,49999,C,B,121.78323817164318 29.97243550629892,45194.65
1064,636022056,1680671343,1680828531,179,32,45286,C,B,121.75439821138373 29.979150371202415,21489.13
1065,440146000,1697248996,1697410611,100,18,4867,A,B,121.89906923112821 29.93256276320894,2322.97
1066,477430300,1693901119, None,333,60,318445,D,C,121.9900784144446 29.92800063526856,269617.74
1067,563082600,1697013020,1697078638,179,27,34987,C,B,121.97812002297549 29.939168019254215,1888.27
1068,636021005,1678769744,1678806452,222,30,39276,B,A,121.83825180579714 29.945235140108068,8.5
1069,413444880,1703560162,1703651084,120,20,11984,D,C,122.11536286626986 29.9081121196694,11100
1070,636014485,1685673997,1685847265,330,60,297101,D,C,121.81345119675835 29.956549406214588,135920.95
1071,563343000,1688087579,1688350636,230,36,54936,A,B,121.74391419091693 29.98181953364116,46150.14
1072,440146000,1695352381,1696727667,100,18,4867,A,B,121.89906923112821 29.93256276320894,2296.49
1073,210725000,1702202954,1702257928,230,38,95308,E,D,122.07685838333425 29.893054494052702,26000
1074,416072000,1703990839,1704157351,149,24,19999,C,B,121.89906923112821 29.93256276320894,9999.76
1075,477318800,1686973809,1687157501,333,60,307569,D,C,121.9900784144446 29.92800063526856,140653.2
1076,440215000,1702079762,1702191520,106,18,4998,A,B,121.89906923112821 29.93256276320894,2301.2
1077,241149000,1692242159,1692499858,292,45,180575,E,D,122.07685838333425 29.893054494052702,162879
1078,412533000,1687369293,1687452443,254,43,115075,E,D,121.8854311014227 29.935859473467904,27969
1079,354280000,1700449360,1700541774,105,16,4036,A,B,121.8960833011353 29.93290032975045,2304.75
1080,372966000,1701504865,1701581559,91,14,3479,C,B,121.74526834273715 29.975417393334514,3000.03
1081,413984000,1692153625,1692235626,254,43,115496,E,D,122.07685838333425 29.893054494052702,28298
1082,477811600,1695349873,1696728687,129,22,13692,C,B,121.9561103968495 29.95190766488247,2884.29
1083,538004968,1701057123,1701325727,183,32,49997,C,C,121.81345119675835 29.956549406214588,31504.75
1084,477637200,1687583288,1687660350,127,21,12702,C,B,121.89906923112821 29.93256276320894,5803.32
1085,636020068,1676959547,1677130835,182,32,45557,C,B,121.75439821138373 29.979150371202415,15253.98
1086,563022200,1683863789,1684024605,333,60,308313,D,C,121.99610422984635 29.92340472293356,124598
1087,477476800,1706443622,1706557183,400,60,184320,B,A,122.01299469099648 29.772993330553064,33366
1088,416065000,1689226015,1689316078,149,24,19999,C,B,121.89906923112821 29.93256276320894,7499.89
1089,441754000,1694934071,1694994826,366,48,145683,B,A,121.83278587017914 29.947227829201804,2978
1090,440207000,1705556488,1705732699,100,14,2983,A,B,121.89868694105951 29.931472410600644,1495.36
1091,256522000,1701837303,1702016223,333,60,298996,D,C,121.99610422984635 29.92340472293356,269768
1092,636015104,1675239180,1675301114,100,18,5001,A,B,121.8960833011353 29.93290032975045,3000
1093,357229000,1673421758,1673589749,143,21,17539,F,B,121.92337754450146 29.91836008290917,3037.56
1094,220417000,1684536007,1684724843,399,56,174239,B,A,122.04040625503215 29.89264034445189,1982
1095,416072000,1681627590,1681863508,149,24,19999,C,B,121.8960833011353 29.93290032975045,17999
1096,636019628,1706158481,1706322560,333,60,319743,D,C,121.99610422984635 29.92340472293356,126774.69
1097,412534000,1706094117,1706167800,254,43,115198,E,D,122.07685838333425 29.893054494052702,29350
1098,416068000,1693536926,1693716884,149,24,19999,C,B,121.89906923112821 29.93256276320894,3160
1099,477147100,1686975462,1687158878,183,32,49969,C,C,121.75439821138373 29.979150371202415,24145
1100,477129400,1679990936,1680339390,333,60,313999,D,C,121.81345119675835 29.956549406214588,50302.39
1101,477893900,1704921355,1704967345,148,24,13281,B,A,121.92225542141885 29.921236299120544,727.1
1102,636022743,1701574357,1701740123,100,18,5157,A,B,121.89906923112821 29.93256276320894,2343.55
1103,416068000,1704335708,1704430685,149,24,19999,C,B,121.8960833011353 29.93290032975045,7600
1104,374788000,1697335123,1697508878,180,27,34843,C,B,121.9529721578593 29.94995541645756,6700
1105,477859600,1691481158,1691535908,172,28,24494,B,A,121.93228463787132 29.940084640162464,3212
1106,215577000,1699740573,1699917834,366,48,153532,B,A,122.02459458045499 29.78192432924778,48148
1107,416067000,1700555615,1700722220,149,24,19999,C,B,121.89906923112821 29.93256276320894,17999.81
1108,241636000,1677559053,1677740324,295,46,94945,A,C,122.09094289999453 29.897187190163223,69956
1109,416067000,1689384858,1689472320,149,24,19999,C,B,121.8960833011353 29.93290032975045,7999
1110,355188000,1686372808,1686463793,111,18,6561,C,B,121.9561103968495 29.95190766488247,6004.79
1111,636021495,1704446488,1704588683,230,36,55324,A,B,121.8960833011353 29.93290032975045,47629.73
1112,441209000,1706513010,1706679409,134,21,14577,C,B,121.77782813498385 29.974398546735802,12479.27
1113,538007938,1698085073,1698103644,222,30,39383,B,A,122.06350371165705 29.891022988210633,14778.6
1114,212175000,1686295974,1686370648,334,43,101612,B,A,122.06000013409714 29.890552673105862,4009.3
1115,413527910,1684906334,1684993456,115,20,7651,D,C,122.11536286626986 29.9081121196694,6565
1116,538003363,1693808739, None,315,50,121939,A,C,122.09094289999453 29.897187190163223,93598.71
1117,477639800,1702088509,1702258697,330,60,297293,D,C,121.81345119675835 29.956549406214588,167176.91
1118,209550000,1674371057,1674476054,334,43,107749,B,A,122.06000013409714 29.890552673105862,23571.7
1119,248876000,1689323650,1689488775,292,45,179754,E,D,122.07685838333425 29.893054494052702,75753
1120,538009208,1681620696,1681690658,146,23,13709,B,A,122.05279860785562 29.890331949101153,859.8
1121,431296000,1672530462,1672584313,316,46,90394,B,A,121.86014084053872 29.939446239013918,59
1122,255806434,1681695248,1681784419,300,48,128140,B,A,121.86014084053872 29.939446239013918,4164
1123,413379840,1674017841,1674099404,96,15,4020,C,B,121.9529721578593 29.94995541645756,3055.2
1124,477091500,1686023449,1686105531,295,46,180329,E,D,122.07685838333425 29.893054494052702,79974
1125,372278000,1685784474,1685925456,289,45,177533,E,D,121.88299170323923 29.936601974988143,79546
1126,374850000,1688358308,1688463809,99,17,4981,A,B,121.89906923112821 29.93256276320894,2300.81
1127,447087000,1685609607,1685757250,225,36,57738,A,C,121.97377818306916 29.945100713933336,15081.75
1128,564189000,1702533208,1702597738,185,33,45717,D,B,121.75439821138373 29.979150371202415,35330.45
1129,477521700,1700376017,1700548961,292,45,182917,E,D,122.07685838333425 29.893054494052702,89963
1130,229779000,1685761999,1685849780,366,51,159614,B,A,122.02107120092448 29.778912029292396,6678
1131,636018812,1675573511,1675725924,333,60,320785,D,C,121.9900784144446 29.92800063526856,264239.4
1132,563117600,1683774119,1683851884,230,37,55065,A,C,121.97377818306916 29.945100713933336,8000
1133,431241000,1703685106,1703738237,366,51,146867,B,A,121.92547188203457 29.936120717921202,936
1134,477027700,1678251721,1678321105,226,37,54747,A,C,121.97377818306916 29.945100713933336,8000
1135,567318000,1683242680,1683328547,195,32,30832,B,A,121.83825180579714 29.945235140108068,8000
1136,477550900,1687665929,1687760385,295,46,180388,E,D,122.07685838333425 29.893054494052702,83000
1137,636016370,1702866289,1703228446,333,60,320926,D,C,121.99610422984635 29.92340472293356,134045.79
1138,563190300,1692690886,1692752424,204,35,36776,B,A,122.00190326744374 29.764757824193353,2000
1139,636091575,1686646287,1686712102,176,28,23388,B,A,121.92909140408368 29.938775522735195,70
1140,636021421,1692682708,1692843231,299,50,211063,E,D,122.07685838333425 29.893054494052702,92931
1141,441603000,1684233644,1684315733,105,16,5643,C,B,121.89581318351006 29.93222177093501,4750.02
1142,440491000,1703697402,1703746965,170,27,20541,B,A,121.84116957510483 29.944137794036124,120
1143,441983000,1678167850,1678242312,103,16,4998,C,B,121.75102788409284 29.976417555460966,2999.58
1144,567535000,1692957810,1693027051,98,16,3857,A,B,121.8960833011353 29.93290032975045,2850.96
1145,413313910,1680313875,1680392431,111,18,4546,A,B,121.78323817164318 29.97243550629892,2500.46
1146,229949000,1680770068,1680826087,172,27,21508,B,A,121.83825180579714 29.945235140108068,3700
1147,248711000,1676329971,1676379011,293,40,72912,B,A,122.03704830124349 29.893930377836373,4951
1148,403514001,1695373013,1696727226,183,32,45468,C,B,121.74391419091693 29.98181953364116,15202.22
1149,440140000,1698986432,1699073125,110,18,6833,C,B,121.89581318351006 29.93222177093501,3102.33
1150,416020000,1703742214,1703803115,168,27,18618,B,A,122.02459458045499 29.78192432924778,2691.1
1151,636014603,1702376831,1702416099,200,32,32906,B,A,121.83825180579714 29.945235140108068,4920
1152,352898743,1674898337,1675044156,333,60,310984,D,C,121.9900784144446 29.92800063526856,126465.56
1153,414467000,1676512797,1676782259,332,60,320557,D,C,121.97053870035003 29.948500300623,297950.72
1154,219027761,1693277529,1693300868,172,32,27553,B,A,121.86014084053872 29.939446239013918,189
1155,636017577,1677641171,1677733267,398,59,222676,B,A,122.04040625503215 29.89264034445189,7955
1156,354850000,1681963990,1682042664,230,36,55134,A,C,121.97377818306916 29.945100713933336,8000
1157,477454700,1678295809,1678351338,368,51,150439,B,A,121.83278587017914 29.947227829201804,884
1158,563078300,1686874959,1686961697,353,54,178257,B,A,122.03704830124349 29.893930377836373,18000
1159,538006211,1705021872,1705110545,99,17,4753,A,B,121.89868694105951 29.931472410600644,2350.42
1160,219130000,1676711274,1676763850,249,37,61962,B,A,122.04954154331483 29.890458695384908,5484.7
1161,477593600,1702270766,1702358840,336,45,111746,B,A,122.01299469099648 29.772993330553064,4579
1162,636018702,1702580686,1702701792,368,51,158657,B,A,122.02459458045499 29.78192432924778,3885
1163,356600000,1702199926,1702426150,100,17,5025,A,B,121.89868694105951 29.931472410600644,2341.54
1164,215352000,1678149337,1678234976,366,51,157076,B,A,122.01299469099648 29.772993330553064,2789
1165,311000255,1686806425,1686971057,225,36,54336,A,C,121.9808752760512 29.936644381754785,22000
1166,440068000,1675476338,1675557837,109,18,6832,C,B,121.89581318351006 29.93222177093501,5720.68
1167,352001150,1699522493,1699664416,96,15,3124,A,B,121.89868694105951 29.931472410600644,1600.08
1168,477851300,1695084850,1695181257,292,45,177000,E,D,122.07685838333425 29.893054494052702,60000
1169,372932000,1703997947,1704038001,186,36,37621,B,A,121.93228463787132 29.940084640162464,828
1170,477711700,1674027501,1674194979,118,18,7682,C,B,121.78323817164318 29.97243550629892,5714
1171,416068000,1684056174,1684227813,149,24,19999,C,B,121.89581318351006 29.93222177093501,7999.63
1172,416065000,1704765538,1704941218,149,24,19999,C,B,121.8960833011353 29.93290032975045,17999.52
1173,356077000,1695034508,1695097085,254,43,115339,E,D,121.88299170323923 29.936601974988143,29000
1174,355036000,1689559838,1689665121,290,45,174810,E,D,122.07685838333425 29.893054494052702,72025
1175,636020969,1676007063,1676244378,292,45,181412,E,D,122.07685838333425 29.893054494052702,85013
1176,477444600,1676719103,1676762075,143,23,12698,B,A,121.92547188203457 29.936120717921202,1681
1177,248794000,1688342704,1688547056,399,58,198264,B,A,122.02107120092448 29.778912029292396,14918.1
1178,249838000,1699918336,1699928490,332,60,318440,D,C,121.99610422984635 29.92340472293356,127233.75
1179,563142500,1698827685,1698875457,285,40,71326,B,A,121.86442501839048 29.938071272210003,93
1180,441375000,1697953458,1698032912,121,20,12909,C,B,121.89906923112821 29.93256276320894,5700.35
1181,477390400,1674958016,1674995845,337,48,115260,B,A,121.93228463787132 29.940084640162464,744
1182,477348700,1672879790,1673010527,148,23,13295,B,A,122.06350371165705 29.891022988210633,3000
1183,441248000,1678765821,1678813032,255,37,65072,B,A,121.86014084053872 29.939446239013918,10099
1184,636017586,1699341470,1699482616,299,50,209177,E,D,122.07685838333425 29.893054494052702,92558
1185,636018572,1691925715,1692034006,366,48,141334,B,A,122.05279860785562 29.890331949101153,337.1
1186,352001015,1680827895,1680999932,230,37,55086,A,C,121.97377818306916 29.945100713933336,25000
1187,310583000,1694662139,1694835078,285,43,82291,A,C,122.09094289999453 29.897187190163223,60041
1188,441799000,1674180624,1674263047,108,18,6499,C,B,121.89581318351006 29.93222177093501,5716.97
1189,412533000,1680742626,1680836712,254,43,115075,E,D,121.88299170323923 29.936601974988143,34012
1190,416498000,1683532925,1683678665,335,46,103891,B,A,122.00491060230848 29.76673611935694,8189
1191,563036700,1693475741,1693535715,179,28,35058,C,B,121.97812002297549 29.939168019254215,2062.35
1192,210396000,1688784182,1688881224,292,45,181343,E,D,122.07685838333425 29.893054494052702,99171
1193,636019382,1688398687,1688526449,292,45,175911,E,D,121.88299170323923 29.936601974988143,73496
1194,355898000,1684814213,1684857397,145,22,12598,B,A,121.92225542141885 29.921236299120544,298
1195,249476000,1703625389,1703704728,292,45,182608,E,D,121.88299170323923 29.936601974988143,67620
1196,355400000,1682295197,1682392097,293,40,72890,B,A,121.86982971079169 29.93642695035784,440
1197,636093041,1701799467,1701880749,334,42,106957,B,A,121.86670274091357 29.937366869184032,353.7
1198,538007058,1692251145,1692484473,148,24,19997,C,B,121.75439821138373 29.979150371202415,19031.05
1199,412476420,1684895280,1684989503,100,15,3218,A,B,121.78323817164318 29.97243550629892,1650
1200,215207000,1675909433,1676073121,398,54,186745,B,A,122.01772291936598 29.776682898612826,25842.8
1201,538009027,1685586530,1685757722,181,32,46746,C,B,121.74391419091693 29.98181953364116,20942.56
1202,416072000,1700964146,1701054190,149,24,19999,C,B,121.8960833011353 29.93290032975045,4999.73
1203,440550000,1703504465,1703544579,148,23,12664,B,A,121.92909140408368 29.938775522735195,1631.8
1204,354205000,1693964088, None,292,45,181338,E,D,121.8854311014227 29.935859473467904,76926
1205,255806335,1678599306,1678636563,366,51,158097,B,A,122.04954154331483 29.890458695384908,458.6
1206,352001217,1677489825,1677571293,109,18,6831,C,B,121.89906923112821 29.93256276320894,6249.76
1207,211111000,1694695571,1694803336,335,51,142411,B,A,122.06000013409714 29.890552673105862,3226
1208,538004758,1676625266,1676789007,292,44,175932,E,D,122.07685838333425 29.893054494052702,76415
1209,356973000,1672735873,1672798306,113,19,9653,F,A,121.92225542141885 29.921236299120544,771
1210,538005658,1674895858,1675033055,183,32,45479,C,B,121.74391419091693 29.98181953364116,12344
1211,440207000,1677990427,1678158275,100,14,2983,A,B,121.74391419091693 29.98181953364116,2044.02
1212,565355000,1674276026,1674621477,225,36,54655,A,C,121.9808752760512 29.936644381754785,46126
1213,636021736,1676557783,1676585915,197,28,24225,B,A,121.93228463787132 29.940084640162464,816
1214,440892000,1681111492,1681190555,91,14,3551,C,B,121.75102788409284 29.976417555460966,2616
1215,431843000,1677809929,1677890858,182,28,37982,C,B,121.75439821138373 29.979150371202415,720.29
1216,353108000,1680934002,1681008394,160,27,26180,C,B,121.9529721578593 29.94995541645756,900
1217,219036000,1688889881,1689055133,399,58,190326,B,A,122.05636332082932 29.890401487700096,16937
1218,564661000,1700646572,1700781892,299,47,187888,E,D,121.8854311014227 29.935859473467904,98222
1219,636012164,1686795722,1686966311,229,32,71024,D,C,121.78323817164318 29.97243550629892,13094.6
1220,352898732,1701135919,1701215688,99,17,4744,A,B,121.89868694105951 29.931472410600644,2401.63
1221,636015927,1686885491,1686990043,120,20,9951,A,B,121.8960833011353 29.93290032975045,4973
1222,636022458,1682136701,1682314168,226,37,54605,A,C,121.78323817164318 29.97243550629892,22550.41
1223,441712000,1681867025,1681952411,109,18,6614,C,B,121.89581318351006 29.93222177093501,6002.64
1224,416067000,1691373637,1691464049,149,24,19999,C,B,121.89906923112821 29.93256276320894,7499.79
1225,413434150,1697505701,1697594006,100,15,3034,A,B,121.89868694105951 29.931472410600644,1544.48
1226,352001952,1693562408,1693639111,157,28,26400,C,B,121.77782813498385 29.974398546735802,9523
1227,235068025,1705536205,1705587597,280,39,68910,B,A,122.00190326744374 29.764757824193353,3548
1228,538005016,1687330078,1687753299,134,23,14968,D,C,122.11536286626986 29.9081121196694,13731
1229,232031320,1686757478,1686844676,366,51,158097,B,A,121.83278587017914 29.947227829201804,5494
1230,416065000,1699427027,1699598420,149,24,19999,C,B,121.89906923112821 29.93256276320894,3000
1231,249819000,1693181338,1693266820,364,46,131292,B,A,122.02459458045499 29.78192432924778,1190
1232,414696000,1681100203,1681179078,111,18,4504,A,B,121.89906923112821 29.93256276320894,2493.89
1233,477308100,1672654832,1672797738,400,59,197049,B,A,122.01772291936598 29.776682898612826,9668.4
1234,477150200,1704426861,1704493684,183,32,40870,C,B,121.74391419091693 29.98181953364116,5082.7
1235,538003558,1689138419,1689357797,288,45,169098,E,D,121.88299170323923 29.936601974988143,163865
1236,413472910,1706676398,1706762054,119,19,5562,A,B,121.89581318351006 29.93222177093501,5005
1237,414468000,1704272984,1704522729,331,60,320899,D,C,121.97053870035003 29.948500300623,284481.46
1238,370320000,1673197210,1673253998,260,32,50687,B,A,121.86442501839048 29.938071272210003,3600
1239,354534000,1697143688,1697246464,292,45,175043,E,D,121.88299170323923 29.936601974988143,82035
1240,211119000,1699961302,1700062320,400,61,229348,B,A,121.92547188203457 29.936120717921202,32820
1241,373933000,1684810693,1684895419,96,16,3146,A,B,121.89868694105951 29.931472410600644,1551.72
1242,563002100,1702373913,1702446320,299,48,117175,B,A,122.03704830124349 29.893930377836373,5525.6
1243,440564000,1685933703,1686019065,97,17,3983,A,B,121.89868694105951 29.931472410600644,1560.51
1244,636018475,1681869536,1681953501,290,47,185827,E,D,122.07685838333425 29.893054494052702,81429
1245,636092247,1675382798,1675532342,366,51,190668,B,A,122.06000013409714 29.890552673105862,13965
1246,241311000,1699632570,1699722005,349,46,122962,B,A,121.86256874954715 29.938672571655324,22912
1247,477726600,1688884404,1689062154,295,46,182459,E,D,122.07685838333425 29.893054494052702,176058
1248,373916000,1672645208,1672788637,290,45,179523,E,D,122.07685838333425 29.893054494052702,80900
1249,356517000,1681186189,1681258568,171,28,22383,B,A,122.03102823282664 29.89508922632821,915
1250,374207000,1692240655,1692400116,108,18,7917,C,B,121.9561103968495 29.95190766488247,2999.55
1251,477112600,1689929335,1689970094,172,28,24690,B,A,121.93228463787132 29.940084640162464,5988
1252,477692400,1685271565,1685507687,292,45,181008,E,D,121.88299170323923 29.936601974988143,170453
1253,538005077,1692779566,1692861900,158,27,26063,C,B,121.77782813498385 29.974398546735802,3800
1254,636021097,1685760033,1685776550,146,23,13715,B,A,121.83557254458088 29.946175822681994,422
1255,412474590,1688967528,1689048367,110,18,4378,A,B,121.89906923112821 29.93256276320894,3950
1256,241645000,1689411488,1689556434,333,60,319431,D,C,121.99610422984635 29.92340472293356,124321.5
1257,636021339,1688589703,1688668709,366,51,175897,B,A,122.04040625503215 29.89264034445189,22400
1258,219019365,1689476915,1689664995,399,60,213971,B,A,122.05636332082932 29.890401487700096,11475
1259,441888000,1705127437,1705293842,183,32,45990,C,B,121.75439821138373 29.979150371202415,31707.41
1260,477899200,1690454893,1690603429,292,45,176469,E,D,121.88299170323923 29.936601974988143,67000
1261,416020000,1690291877,1690352327,168,27,18618,B,A,122.00491060230848 29.76673611935694,4500
1262,232045201,1696925063,1696930903,292,45,174999,E,D,122.07685838333425 29.893054494052702,79399
1263,240589000,1675163049,1675248322,289,45,171680,E,D,121.88299170323923 29.936601974988143,75445
1264,357368000,1693792572,1693821927,145,22,12601,B,A,121.93228463787132 29.940084640162464,79
1265,636021770,1673061201,1673148765,366,51,180428,B,A,122.06000013409714 29.890552673105862,18424
1266,413984000,1682310687,1682395383,254,43,115496,E,D,122.07685838333425 29.893054494052702,34000
1267,477486400,1681878202,1682051278,183,33,45999,C,B,121.75439821138373 29.979150371202415,19615.93
1268,353810000,1673582359,1673671785,97,16,3828,A,B,121.89868694105951 29.931472410600644,3000.38
1269,440177000,1684382394,1684465980,148,24,19997,C,B,121.77782813498385 29.974398546735802,10204.37
1270,636022921,1705481993,1705667643,399,61,271957,B,A,122.0464197431265 29.8909733510863,34102
1271,477630700,1689478491,1689825682,183,32,46349,C,B,121.74391419091693 29.98181953364116,41301.95
1272,538004792,1704181820,1704353352,133,23,14936,D,C,122.11536286626986 29.9081121196694,11920.43
1273,441736000,1687973919,1688006562,295,32,63157,B,A,121.92909140408368 29.938775522735195,81.5
1274,477271400,1702986636,1703104831,366,52,156605,B,A,122.02459458045499 29.78192432924778,20000
1275,205778000,1704761942,1704766855,292,45,175591,E,D,122.07685838333425 29.893054494052702,79000
1276,563144100,1698730777,1698813557,229,37,55068,A,C,121.97377818306916 29.945100713933336,8000
1277,352002209,1682583027,1682742448,244,42,102946,D,C,121.8177632951752 29.95400256789684,91442.96
1278,416065000,1691818101,1691977119,149,24,19999,C,B,121.89906923112821 29.93256276320894,2400
1279,353162000,1686805169,1686870662,366,51,187047,B,A,121.92547188203457 29.936120717921202,3666.4
1280,416068000,1684978138,1685249597,149,24,19999,C,B,121.89906923112821 29.93256276320894,4000
1281,563109200,1679712403,1679758925,186,36,37511,B,A,121.83825180579714 29.945235140108068,1128
1282,413259000,1703721388,1703839600,92,15,3560,C,B,121.8960833011353 29.93290032975045,2900
1283,440997000,1677051894,1677112295,87,14,3449,C,B,121.89906923112821 29.93256276320894,3000.72
1284,477913200,1700814855,1701048923,333,60,308297,D,C,121.99610422984635 29.92340472293356,132837.85
1285,255805776,1684360356,1684389242,306,40,81002,B,A,121.86014084053872 29.939446239013918,3547.8
1286,210602000,1706679144,1706761930,229,32,82018,E,C,122.07685838333425 29.893054494052702,25000
1287,538008724,1674284638,1674357331,180,28,37245,C,B,121.9529721578593 29.94995541645756,900
1288,356212000,1695360161,1696737972,174,28,33944,C,B,121.89581318351006 29.93222177093501,3984.8
1289,477250700,1675491329,1675545115,143,23,12599,B,A,122.05279860785562 29.890331949101153,4000
1290,212289000,1686077589,1686118106,170,28,23629,B,A,121.92547188203457 29.936120717921202,59.2
1291,354280000,1678235640,1678331131,105,16,4036,A,B,121.9561103968495 29.95190766488247,2300.58
1292,354264000,1684112951,1684392484,330,60,302783,D,C,121.8177632951752 29.95400256789684,236433.53
1293,416068000,1688704692,1688867462,149,24,19999,C,B,121.89906923112821 29.93256276320894,17947.92
1294,563080100,1689656840,1689819979,230,37,53928,A,B,121.9808752760512 29.936644381754785,23961
1295,355294000,1673396359,1673570993,99,17,4742,A,B,121.89906923112821 29.93256276320894,1502.22
1296,636020816,1688714001,1689233518,339,60,313239,D,C,121.81345119675835 29.956549406214588,123905.07
1297,566787000,1682747283,1682832123,289,45,173799,E,D,121.88299170323923 29.936601974988143,66514
1298,636021564,1675925253,1676244529,324,60,310391,D,C,121.8177632951752 29.95400256789684,254955.95
1299,247012900,1688418128,1688486900,285,40,63216,B,A,121.83825180579714 29.945235140108068,40
1300,311000140,1686027356,1686032557,315,50,109555,A,C,122.09094289999453 29.897187190163223,93771.47
1301,228386700,1683685765,1683826762,400,62,221251,B,A,122.01772291936598 29.776682898612826,37803.7
1302,477348700,1702605676,1702630507,148,23,13295,B,A,122.03102823282664 29.89508922632821,4712
1303,235108619,1688623763,1688876595,225,36,54561,A,C,121.97377818306916 29.945100713933336,46113.46
1304,229457000,1685234969,1685334669,347,46,131831,B,A,122.01772291936598 29.776682898612826,62
1305,563113800,1675834351,1675919484,120,19,9120,A,B,121.8960833011353 29.93290032975045,4760.48
1306,412474590,1685438185,1685523847,110,18,4378,A,B,121.89581318351006 29.93222177093501,3950
1307,538007495,1677812301,1677983705,330,60,303120,D,C,121.9900784144446 29.92800063526856,133531.35
1308,209798000,1692885283,1692947994,260,32,50500,B,A,121.86670274091357 29.937366869184032,2427
1309,538002921,1698285016,1698460757,315,50,106896,A,C,122.09094289999453 29.897187190163223,93604.28
1310,440146000,1689911556,1689994747,100,18,4867,A,B,121.89868694105951 29.931472410600644,2312.31
1311,413266920,1681520119,1681540065,110,18,4336,A,B,121.89906923112821 29.93256276320894,2302.31
1312,441986000,1697508708,1697598260,109,18,6596,C,B,121.89581318351006 29.93222177093501,5705.6
1313,477185500,1675574854,1675741427,185,32,45484,D,C,121.75439821138373 29.979150371202415,38258
1314,636016377,1674737160,1674873918,291,45,181196,E,D,121.8854311014227 29.935859473467904,85860
1315,477682400,1695110554,1695185894,92,14,3560,C,B,121.75102788409284 29.976417555460966,999.29
1316,412474590,1700455857,1700547907,110,18,4378,A,B,121.89868694105951 29.931472410600644,3950
1317,357737000,1679556544,1679644414,285,40,63216,B,A,122.02459458045499 29.78192432924778,15000
1318,210804000,1684895867,1684944146,170,28,23574,B,A,121.86982971079169 29.93642695035784,433
1319,477654800,1706158316,1706319661,226,36,53748,A,C,121.9808752760512 29.936644381754785,21850
1320,477641200,1701762921,1701915631,295,46,180361,E,D,122.07685838333425 29.893054494052702,84591
1321,215189000,1699312011,1699376719,295,33,65899,B,A,121.86014084053872 29.939446239013918,7125
1322,477809900,1679897717,1679982386,109,20,7944,D,C,122.11536286626986 29.9081121196694,6776.68
1323,357368000,1676817047,1676837106,145,22,12601,B,A,121.93228463787132 29.940084640162464,115
1324,538008946,1687568219,1687607480,171,28,23412,B,A,121.93228463787132 29.940084640162464,387.5
1325,636022196,1705638228,1705681316,143,23,13714,B,A,121.92225542141885 29.921236299120544,905
1326,636014630,1702376436,1702495177,292,45,176536,E,D,121.88299170323923 29.936601974988143,79161
1327,416067000,1691373637,1691464049,149,24,19999,C,B,121.89906923112821 29.93256276320894,10499.98
1328,352898732,1680920432,1681009536,99,17,4744,A,B,121.89868694105951 29.931472410600644,2340.49
1329,477185400,1691974214,1692058877,128,20,13029,C,B,121.89581318351006 29.93222177093501,10090.49
1330,538002666,1691288862,1691346505,170,25,20307,B,A,122.00491060230848 29.76673611935694,108
1331,477947600,1692962824,1692983778,261,32,50006,B,A,122.03102823282664 29.89508922632821,1468.8
1332,477333500,1704175645,1704248589,400,59,191422,B,A,122.01772291936598 29.776682898612826,2061.8
1333,374431000,1697306688,1697342238,137,25,12419,B,A,121.92547188203457 29.936120717921202,28.6
1334,370122000,1683777778,1683871988,143,24,19701,C,B,121.9561103968495 29.95190766488247,5884.22
1335,229263000,1701089492,1701137797,210,30,34251,B,A,122.06350371165705 29.891022988210633,2120
